# first column is atomic number
# second column is slater radius
# these data come from doi:10.1063/1.1725697
# Atomic Radii in Crystals, J.C. Slater, J. Chem. Phys. 41. 3199(1964)
     1			0.25
     3			1.45
     4			1.05
     5			0.85
     6			0.70
     7			0.65
     8			0.60
     9			0.50
    11			1.80
    12			1.50
    13			1.25
    14			1.10
    15			1.00
    16			1.00
    17			1.00
    19			2.20
    20			1.80
    21			1.60
    22			1.40
    23			1.35
    24			1.40
    25			1.40
    26			1.40
    27			1.35
    28			1.35
    29			1.35
    30			1.35
    31			1.30
    32			1.25
    33			1.15
    34			1.15
    35			1.15
